waves=1 length=8192 data=CH1/2 
title= ~
sample= ~
comment= ~
date= 2019/08/06~20:01
cf339.939 st60.00 rmfirst fq100.00 md2.0x1
am4.00x100 tc0.03 uF9229.023000 MHz uP4.99000    mW 
accumu= 2
===== CH1 data Wave No.1 ===== 
Intensity            mT 
   -402.18967     326.31245
   -408.06467     326.31612
   -408.68967     326.31978
   -409.06467     326.32344
   -408.68967     326.32710
   -410.31467     326.33077
   -406.06467     326.33443
   -391.43967     326.33809
   -373.43967     326.34175
   -353.43967     326.34542
   -335.56467     326.34908
   -321.06467     326.35274
   -316.43967     326.35640
   -319.81467     326.36007
   -319.43967     326.36373
   -312.31467     326.36739
   -300.81467     326.37105
   -278.06467     326.37472
   -258.18967     326.37838
   -236.93968     326.38204
   -217.93968     326.38571
   -198.43968     326.38937
   -185.31468     326.39303
   -173.31468     326.39669
   -158.56468     326.40036
   -144.68968     326.40402
   -132.43968     326.40768
   -122.68968     326.41134
   -117.68968     326.41501
   -117.56468     326.41867
   -127.56468     326.42233
   -140.81468     326.42599
   -145.06468     326.42966
   -143.93968     326.43332
   -140.81468     326.43698
   -136.93968     326.44064
   -127.68968     326.44431
   -120.31468     326.44797
   -116.18968     326.45163
   -112.68968     326.45529
   -105.68968     326.45896
   -100.06468     326.46262
    -93.43967     326.46628
    -90.68967     326.46994
    -87.68967     326.47361
    -76.68967     326.47727
    -68.18967     326.48093
    -57.56467     326.48459
    -51.31467     326.48826
    -44.31467     326.49192
    -34.81467     326.49558
    -27.81467     326.49924
    -22.93967     326.50291
    -14.93967     326.50657
     -2.93967     326.51023
     10.81033     326.51389
     23.81033     326.51756
     40.56033     326.52122
     62.68533     326.52488
     83.18533     326.52854
     95.81033     326.53221
    105.56032     326.53587
    112.81032     326.53953
    120.93532     326.54320
    134.31032     326.54686
    150.68532     326.55052
    163.06032     326.55418
    173.06032     326.55785
    181.06032     326.56151
    190.18532     326.56517
    193.93532     326.56883
    200.43532     326.57250
    206.68532     326.57616
    214.68532     326.57982
    223.56032     326.58348
    229.56032     326.58715
    234.18532     326.59081
    231.31032     326.59447
    230.56032     326.59813
    231.93532     326.60180
    233.31032     326.60546
    228.18532     326.60912
    228.06032     326.61278
    237.31032     326.61645
    247.18532     326.62011
    252.93532     326.62377
    260.18533     326.62743
    268.18533     326.63110
    272.81033     326.63476
    275.31033     326.63842
    276.18533     326.64208
    279.31033     326.64575
    280.43533     326.64941
    284.93533     326.65307
    292.31033     326.65673
    299.93533     326.66040
    310.43533     326.66406
    316.43533     326.66772
    323.31033     326.67138
    335.43533     326.67505
    341.56033     326.67871
    344.68533     326.68237
    350.06033     326.68603
    357.93533     326.68970
    364.56033     326.69336
    371.81033     326.69702
    376.18533     326.70069
    376.81033     326.70435
    371.43533     326.70801
    372.18533     326.71167
    375.56033     326.71534
    379.68533     326.71900
    378.56033     326.72266
    378.81033     326.72632
    375.43533     326.72999
    373.18533     326.73365
    366.56033     326.73731
    354.18533     326.74097
    347.43533     326.74464
    346.81033     326.74830
    342.18533     326.75196
    345.06033     326.75562
    350.68533     326.75929
    357.93533     326.76295
    373.06033     326.76661
    387.68533     326.77027
    396.56033     326.77394
    396.43533     326.77760
